"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2010","2,848.00","3,140.00","3,299.00","2,848.00","","-5.22%"
"12/01/2009","3,005.00","3,836.00","4,107.00","3,005.00","","-22.69%"
"11/01/2009","3,887.00","3,185.00","4,661.00","3,185.00","","25.27%"
"10/01/2009","3,103.00","2,284.00","3,103.00","2,284.00","","39.77%"
"09/01/2009","2,220.00","2,423.00","2,492.00","2,163.00","","-8.30%"
"08/01/2009","2,421.00","3,251.00","3,251.00","2,388.00","","-27.73%"
"07/01/2009","3,350.00","3,742.00","3,742.00","2,975.00","","-10.83%"
"06/01/2009","3,757.00","3,681.00","4,291.00","3,452.00","","7.53%"
"05/01/2009","3,494.00","1,806.00","3,494.00","1,806.00","","95.63%"
"04/01/2009","1,786.00","1,574.00","1,897.00","1,463.00","","10.59%"
"03/01/2009","1,615.00","2,014.00","2,298.00","1,615.00","","-18.68%"
"02/01/2009","1,986.00","1,099.00","2,099.00","1,099.00","","85.61%"
"01/01/2009","1,070.00","773.00","1,070.00","772.00","","38.24%"
"12/01/2008","774.00","700.00","836.00","663.00","","8.25%"
"11/01/2008","715.00","827.00","865.00","715.00","","-15.98%"
"10/01/2008","851.00","3,025.00","3,025.00","851.00","","-73.55%"
"09/01/2008","3,217.00","6,691.00","6,691.00","3,217.00","","-52.75%"
"08/01/2008","6,809.00","8,280.00","8,280.00","6,809.00","","-18.37%"
"07/01/2008","8,341.00","9,379.00","9,379.00","8,341.00","","-13.01%"
"06/01/2008","9,589.00","11,458.00","11,689.00","9,139.00","","-16.18%"
"05/01/2008","11,440.00","9,439.00","11,793.00","9,439.00","","22.27%"
"04/01/2008","9,356.00","7,890.00","9,356.00","7,655.00","","15.78%"
"03/01/2008","8,081.00","7,878.00","8,624.00","7,619.00","","6.15%"
"02/01/2008","7,613.00","6,134.00","7,613.00","6,002.00","","25.79%"
"01/01/2008","6,052.00","8,891.00","8,891.00","5,615.00","","-33.81%"
"12/01/2007","9,143.00","10,270.00","10,285.00","9,143.00","","-10.45%"
"11/01/2007","10,210.00","10,581.00","11,039.00","9,897.00","","-4.19%"
"10/01/2007","10,656.00","9,537.00","11,033.00","9,513.00","","12.48%"
"09/01/2007","9,474.00","7,783.00","9,474.00","7,783.00","","23.01%"
"08/01/2007","7,702.00","6,993.00","7,702.00","6,917.00","","10.55%"
"07/01/2007","6,967.00","6,304.00","6,967.00","6,201.00","","10.97%"
"06/01/2007","6,278.00","5,983.00","6,278.00","5,254.00","","5.14%"
"05/01/2007","5,971.00","6,255.00","6,688.00","5,971.00","","-4.43%"
"04/01/2007","6,248.00","5,417.00","6,248.00","5,417.00","","15.96%"
"03/01/2007","5,388.00","4,818.00","5,388.00","4,818.00","","13.07%"
"02/01/2007","4,765.00","4,219.00","4,765.00","4,219.00","","12.78%"
"01/01/2007","4,225.00","4,421.00","4,647.00","4,225.00","","-3.91%"
"12/01/2006","4,397.00","4,369.00","4,407.00","4,270.00","","1.41%"
"11/01/2006","4,336.00","4,100.00","4,336.00","4,100.00","","7.41%"
"10/01/2006","4,037.00","3,956.00","4,182.00","3,931.00","","2.36%"
"09/01/2006","3,944.00","3,875.00","4,279.00","3,875.00","","2.52%"
"08/01/2006","3,847.00","3,337.00","3,847.00","3,337.00","","17.11%"
"07/01/2006","3,285.00","2,983.00","3,285.00","2,849.00","","10.83%"
